Designator,Mid X,Mid Y,Rotation,Layer
BZ1,127.254,-107.1253,90.0,top
Battery1,182.2401,-85.4036,0.0,top
C1,178.21835,-79.5546,270.0,bottom
C2,158.2699,-81.1738,0.0,bottom
C4,154.0764,-61.4172,180.0,bottom
C5,146.2532,-78.9922,90.0,bottom
C6,156.7688,-69.85,0.0,bottom
C8,167.5222,-83.1618,90.0,bottom
C9,158.1038,-99.097912,90.0,top
D1,98.806,-103.5793,270.0,top
D2,169.0347,-68.834,90.0,bottom
D3,115.249599,-131.6238,90.0,top
D4,115.249599,-141.7478,90.0,top
D5,180.919,-70.612,270.0,bottom
D6,178.1758,-74.4728,90.0,bottom
D7,159.0779,-90.4088,180.0,bottom
D9,146.8859,-73.5432,0.0,top
J3,138.0744,-114.046,270.0,top
J4,141.4746,-134.9328,90.0,bottom
J5,105.704,-104.6461,0.0,top
Q1,123.571,-99.5153,180.0,bottom
Q2,165.6588,-68.0416,0.0,bottom
Q3,188.9058,-94.372,270.0,top
Q6,177.0054,-70.358,90.0,top
R1,137.922,-57.3024,0.0,top
R10,155.9052,-73.4568,90.0,bottom
R11,170.7159,-81.9358,180.0,bottom
R12,156.6164,-57.3024,0.0,top
R13,162.56,-94.3356,0.0,top
R14,148.401,-104.471912,270.0,bottom
R15,155.4114,-102.338312,180.0,bottom
R16,159.1725,-106.097512,0.0,bottom
R17,155.1574,-108.891512,180.0,bottom
R18,146.8628,-77.4192,180.0,top
R19,112.963599,-128.4128,270.0,bottom
R2,147.0152,-82.3976,0.0,bottom
R20,118.297599,-142.7588,0.0,bottom
R21,180.75835,-79.453,270.0,bottom
R22,150.7744,-73.5584,180.0,top
R23,171.2976,-67.5801,90.0,top
R24,155.9839,-87.2698,180.0,bottom
R25,164.592,-90.424,90.0,bottom
R26,162.3847,-90.4194,270.0,bottom
R27,156.7459,-84.3234,90.0,bottom
R3,148.8948,-67.1576,270.0,bottom
R4,146.8628,-67.1576,270.0,bottom
R5,129.54,-102.1823,0.0,bottom
R6,158.0896,-73.4568,270.0,bottom
R7,162.5323,-64.1096,270.0,bottom
R8,168.8823,-64.3636,270.0,bottom
R9,170.5635,-84.5266,180.0,bottom
RV1,150.8795,-106.971912,90.0,top
RV2,150.8795,-114.210912,90.0,top
SW1,103.617599,-128.0988,0.0,top
SW2,103.617599,-138.2228,0.0,top
TH1,182.372,-70.2056,270.0,top
TH2,188.722,-70.2056,270.0,top
U1,95.9975,-101.1548,90.0,top
U10,147.574,-63.0428,0.0,bottom
U2,162.2552,-85.3948,0.0,bottom
U3,140.0676,-132.6468,0.0,top
U5,165.6588,-64.1096,180.0,bottom
U6,149.1376,-98.4088,0.0,top
U7,135.0,-79.9473,0.0,top
U8,153.924,-65.6336,180.0,bottom
U9,159.1475,-108.977912,0.0,bottom
